Strategy,Metric,Train,Valid,Test
LightGBM_24bar_Target1.5%,Num Trades,N/A,807,1080
LightGBM_24bar_Target1.5%,Time in Market,N/A,90.4%,88.3%
LightGBM_24bar_Target1.5%,Avg Holding (bars),N/A,66.0,63.8
LightGBM_24bar_Target2.0%,Ann. Return,N/A,-7.15%,-7.88%
LightGBM_24bar_Target2.0%,Sharpe Ratio,N/A,-0.28,-0.26
LightGBM_24bar_Target2.0%,Max Drawdown,N/A,49.12%,54.09%
LightGBM_24bar_Target2.0%,Win Rate,N/A,53.2%,53.7%
LightGBM_24bar_Target2.0%,Num Trades,N/A,771,1029
LightGBM_24bar_Target2.0%,Time in Market,N/A,90.6%,88.5%
LightGBM_24bar_Target2.0%,Avg Holding (bars),N/A,69.2,67.1
LightGBM_24bar_NegGate12,Ann. Return,N/A,5.93%,-5.77%
LightGBM_24bar_NegGate12,Sharpe Ratio,N/A,0.30,-0.19
LightGBM_24bar_NegGate12,Max Drawdown,N/A,28.51%,52.62%
LightGBM_24bar_NegGate12,Win Rate,N/A,28.6%,26.5%
LightGBM_24bar_NegGate12,Num Trades,N/A,1890,2599
LightGBM_24bar_NegGate12,Time in Market,N/A,84.8%,82.1%
LightGBM_24bar_NegGate12,Avg Holding (bars),N/A,26.4,24.6
LightGBM_24bar_Combo_SL0.5_Target1.0,Ann. Return,N/A,-5.82%,-6.15%
LightGBM_24bar_Combo_SL0.5_Target1.0,Sharpe Ratio,N/A,-0.23,-0.20
LightGBM_24bar_Combo_SL0.5_Target1.0,Max Drawdown,N/A,51.73%,53.94%
LightGBM_24bar_Combo_SL0.5_Target1.0,Win Rate,N/A,47.2%,46.9%
LightGBM_24bar_Combo_SL0.5_Target1.0,Num Trades,N/A,1518,1916
LightGBM_24bar_Combo_SL0.5_Target1.0,Time in Market,N/A,87.0%,85.0%
LightGBM_24bar_Combo_SL0.5_Target1.0,Avg Holding (bars),N/A,33.8,34.6
LightGBM_24bar_Combo_Trail0.5_Target2.0,Ann. Return,N/A,-7.99%,-3.88%
LightGBM_24bar_Combo_Trail0.5_Target2.0,Sharpe Ratio,N/A,-0.32,-0.13
LightGBM_24bar_Combo_Trail0.5_Target2.0,Max Drawdown,N/A,51.56%,54.01%
LightGBM_24bar_Combo_Trail0.5_Target2.0,Win Rate,N/A,44.8%,43.9%
LightGBM_24bar_Combo_Trail0.5_Target2.0,Num Trades,N/A,1726,2223
LightGBM_24bar_Combo_Trail0.5_Target2.0,Time in Market,N/A,85.9%,84.1%
LightGBM_24bar_Combo_Trail0.5_Target2.0,Avg Holding (bars),N/A,29.3,29.5
