Strategy,Train,Valid,Test
MomentumBreakout,0.17,0.47,-0.79
MeanReversion,-0.37,0.27,-1.40
ORB,-0.45,-0.22,-0.07
XGBoost_24bar,1.02,0.30,-0.74
LightGBM_24bar,0.86,-0.31,-0.28
XGBoost_36bar,0.87,0.40,-0.48
LightGBM_36bar,0.62,0.44,-0.30
XGBoost_eod,1.19,0.48,-0.65
LightGBM_eod,0.64,1.84,-0.76
